"n" "d" "nsol" "npos"
1 7 2 0
1 7 4 2
1 7 2 2
1 7 2 1
1 7 4 2
1 7 4 2
1 7 2 1
1 7 4 2
1 7 2 2
1 7 2 2
1 7 2 2
1 7 4 2
1 7 4 1
1 7 4 3
1 7 0 0
1 7 2 2
1 7 2 1
1 7 3 3
1 7 2 1
1 7 2 2
1 7 2 1
1 7 2 2
1 7 4 2
1 7 2 1
1 7 2 1
1 7 2 0
1 7 2 1
1 7 4 3
1 7 4 2
1 7 4 2
1 7 2 1
1 7 2 0
1 7 2 0
1 7 2 1
1 7 4 1
1 7 2 0
1 7 4 3
1 7 2 0
1 7 2 0
1 7 4 1
1 7 4 3
1 7 2 0
1 7 4 2
1 7 2 1
1 7 4 2
1 7 2 1
1 7 2 0
1 7 2 0
1 7 4 1
1 7 2 1
1 7 4 3
1 7 0 0
1 7 2 1
1 7 4 1
1 7 2 1
1 7 2 2
1 7 4 2
1 7 2 1
1 7 4 2
1 7 4 1
1 7 2 2
1 7 4 2
1 7 4 1
1 7 4 1
1 7 2 0
1 7 4 2
1 7 2 0
1 7 2 2
1 7 2 0
1 7 2 2
1 7 2 1
1 7 2 2
1 7 2 1
1 7 4 2
1 7 2 0
1 7 0 0
1 7 2 1
1 7 2 0
1 7 2 2
1 7 4 1
1 7 2 1
1 7 2 1
1 7 2 1
1 7 4 2
1 7 4 2
1 7 2 2
1 7 2 1
1 7 2 1
1 7 0 0
1 7 4 1
1 7 2 1
1 7 4 3
1 7 0 0
1 7 4 2
1 7 4 3
1 7 2 1
1 7 2 0
1 7 2 2
1 7 2 1
1 7 2 1
1 7 2 1
1 7 2 2
1 7 4 3
1 7 2 1
1 7 2 0
1 7 4 1
1 7 4 2
1 7 2 2
1 7 4 2
1 7 2 1
1 7 2 1
1 7 2 1
1 7 0 0
1 7 0 0
1 7 2 1
1 7 2 1
1 7 2 1
1 7 4 0
1 7 2 2
1 7 4 2
1 7 2 2
1 7 2 1
1 7 4 3
1 7 2 2
1 7 4 3
1 7 0 0
1 7 2 0
1 7 2 1
1 7 2 1
1 7 4 2
1 7 0 0
1 7 4 3
1 7 2 1
1 7 2 1
1 7 4 2
1 7 2 0
1 7 2 1
1 7 4 2
1 7 2 0
1 7 2 1
1 7 0 0
1 7 2 0
1 7 4 1
1 7 2 1
1 7 4 1
1 7 2 1
1 7 4 3
1 7 2 0
1 7 2 0
1 7 2 2
1 7 2 1
1 7 4 2
1 7 2 0
1 7 4 3
1 7 2 2
1 7 2 1
1 7 4 2
1 7 4 2
1 7 2 1
1 7 0 0
1 7 2 2
1 7 2 1
1 7 2 1
1 7 2 2
1 7 2 0
1 7 2 0
1 7 2 1
1 7 2 1
1 7 4 2
1 7 2 1
1 7 4 1
1 7 0 0
1 7 2 1
1 7 4 1
1 7 4 2
1 7 4 2
1 7 4 1
1 7 2 1
1 7 4 3
1 7 2 1
1 7 2 1
1 7 0 0
1 7 2 2
1 7 4 2
1 7 2 2
1 7 0 0
1 7 2 1
1 7 2 0
1 7 4 2
1 7 2 0
1 7 2 1
1 7 2 0
1 7 2 1
1 7 0 0
1 7 2 1
1 7 2 1
1 7 4 1
1 7 4 2
1 7 2 1
1 7 2 0
1 7 0 0
1 7 2 0
1 7 2 1
1 7 4 3
1 7 2 1
1 7 4 3
1 7 0 0
1 7 4 2
1 7 4 1
1 7 2 2
1 7 4 3
1 7 2 1
1 7 0 0
1 7 2 1
1 7 2 0
1 7 4 2
1 7 2 1
1 7 4 3
1 7 4 3
1 7 4 3
1 7 2 2
1 7 2 1
1 7 4 3
1 7 2 0
1 7 2 1
1 7 2 2
1 7 4 3
1 7 4 3
1 7 2 1
1 7 2 0
1 7 2 1
1 7 2 1
1 7 4 2
1 7 2 2
1 7 0 0
1 7 2 1
1 7 2 1
1 7 0 0
1 7 2 0
1 7 4 2
1 7 2 1
1 7 2 1
1 7 4 2
1 7 0 0
1 7 2 0
1 7 2 1
1 7 4 2
1 7 2 1
1 7 2 1
1 7 2 1
1 7 2 2
1 7 2 1
1 7 4 2
1 7 2 1
1 7 4 2
1 7 2 1
1 7 2 1
1 7 2 1
1 7 2 2
1 7 2 0
1 7 2 1
1 7 2 1
1 7 0 0
1 7 2 1
1 7 2 1
1 7 2 1
1 7 2 1
1 7 2 0
1 7 2 1
1 7 2 0
1 7 2 2
1 7 2 1
1 7 4 2
1 7 2 1
1 7 4 1
1 7 1 0
1 7 0 0
1 7 4 2
1 7 2 0
1 7 2 1
1 7 4 2
1 7 2 1
1 7 2 1
1 7 2 1
1 7 2 1
1 7 4 3
1 7 2 1
1 7 4 1
1 7 2 1
1 7 4 2
1 7 2 2
1 7 4 2
1 7 4 2
1 7 2 1
1 7 4 2
1 7 4 2
1 7 2 1
1 7 2 0
1 7 2 2
1 7 0 0
1 7 4 1
1 7 2 1
1 7 4 2
1 7 4 2
1 7 4 2
1 7 4 2
1 7 2 1
1 7 4 3
1 7 2 1
1 7 0 0
1 7 4 2
1 7 2 1
1 7 4 1
1 7 2 0
1 7 4 2
1 7 2 0
1 7 2 1
1 7 2 0
1 7 4 1
1 7 4 2
1 7 4 2
1 7 2 2
1 7 2 0
1 7 6 2
1 7 2 1
1 7 2 1
1 7 4 2
1 7 2 0
1 7 2 1
1 7 4 2
1 7 2 1
1 7 2 2
1 7 2 1
1 7 4 2
1 7 4 2
1 7 2 1
1 7 2 1
1 7 4 1
1 7 2 2
1 7 0 0
1 7 2 1
1 7 2 1
1 7 4 2
1 7 4 1
1 7 4 2
1 7 2 1
1 7 2 1
1 7 4 3
1 7 2 1
1 7 2 1
1 7 4 2
1 7 0 0
1 7 4 2
1 7 2 1
1 7 2 0
1 7 2 1
1 7 2 2
1 7 2 1
1 7 4 0
1 7 4 0
1 7 2 2
1 7 2 0
1 7 2 0
1 7 4 2
1 7 2 0
1 7 4 1
1 7 4 3
1 7 2 2
1 7 2 0
1 7 2 1
1 7 2 1
1 7 2 1
1 7 4 1
1 7 4 3
1 7 2 2
1 7 2 0
1 7 4 2
1 7 2 1
1 7 0 0
1 7 2 0
1 7 2 1
1 7 2 1
1 7 2 1
1 7 2 0
1 7 2 1
1 7 4 2
1 7 2 0
1 7 2 1
1 7 2 1
1 7 4 3
1 7 2 1
1 7 4 3
1 7 2 1
1 7 2 0
1 7 2 1
1 7 0 0
1 7 0 0
1 7 0 0
1 7 4 3
1 7 2 0
1 7 4 1
1 7 4 2
1 7 2 0
1 7 2 1
1 7 2 1
1 7 2 0
1 7 0 0
1 7 0 0
1 7 0 0
1 7 2 0
1 7 2 2
1 7 2 2
1 7 4 3
1 7 4 1
1 7 2 1
1 7 4 2
1 7 4 1
1 7 2 2
1 7 2 1
1 7 2 1
1 7 2 1
1 7 2 1
1 7 2 1
1 7 2 1
1 7 2 1
1 7 2 0
1 7 2 0
1 7 2 1
1 7 2 1
1 7 4 2
1 7 2 1
1 7 4 2
1 7 4 2
1 7 2 0
1 7 0 0
1 7 4 3
1 7 2 0
1 7 2 0
1 7 0 0
1 7 2 1
1 7 2 1
1 7 2 1
1 7 2 1
1 7 4 2
1 7 4 3
1 7 4 2
1 7 0 0
1 7 0 0
1 7 2 1
1 7 2 1
1 7 3 1
1 7 4 2
1 7 2 1
1 7 2 2
1 7 2 2
1 7 0 0
1 7 2 1
1 7 2 1
1 7 4 3
1 7 2 1
1 7 2 0
1 7 2 0
1 7 2 1
1 7 4 3
1 7 2 0
1 7 4 2
1 7 0 0
1 7 4 3
1 7 2 2
1 7 2 2
1 7 4 4
1 7 2 1
1 7 2 1
1 7 4 2
1 7 4 3
1 7 2 1
1 7 2 1
1 7 2 0
1 7 4 2
1 7 2 1
1 7 4 2
1 7 4 2
1 7 2 0
1 7 2 0
1 7 4 1
1 7 2 1
1 7 0 0
1 7 2 1
1 7 2 1
1 7 2 0
1 7 2 0
1 7 4 1
1 7 2 2
1 7 2 1
1 7 0 0
1 7 2 1
1 7 2 2
1 7 4 3
1 7 2 0
1 7 4 1
1 7 2 2
1 7 2 2
1 7 4 2
1 7 0 0
1 7 4 3
1 7 2 1
1 7 2 1
1 7 2 1
1 7 2 1
1 7 2 2
1 7 2 0
1 7 4 1
1 7 2 2
1 7 0 0
1 7 4 2
1 7 2 0
1 7 2 1
1 7 4 2
1 7 0 0
1 7 2 1
1 7 2 1
1 7 2 1
1 7 2 1
1 7 2 1
1 7 4 1
1 7 2 1
1 7 2 2
1 7 2 1
1 7 0 0
1 7 2 1
1 7 2 0
1 7 2 2
1 7 4 3
1 7 4 1
1 7 2 1
1 7 2 2
1 7 2 1
1 7 2 1
1 7 4 2
1 7 4 2
1 7 2 0
1 7 2 1
1 7 4 2
1 7 2 0
1 7 0 0
1 7 4 2
1 7 4 1
1 7 2 0
1 7 2 0
1 7 2 2
1 7 2 2
1 7 2 1
1 7 2 1
1 7 2 1
1 7 2 2
1 7 2 0
1 7 4 2
1 7 4 3
1 7 2 1
1 7 2 1
1 7 2 2
1 7 2 2
1 7 0 0
1 7 2 1
1 7 2 2
1 7 2 0
1 7 2 1
1 7 4 2
1 7 2 0
1 7 2 1
1 7 4 2
1 7 0 0
1 7 2 1
1 7 2 1
1 7 4 3
1 7 0 0
1 7 2 0
1 7 4 1
1 7 4 2
1 7 2 1
1 7 4 2
1 7 0 0
1 7 0 0
1 7 2 2
1 7 2 1
1 7 2 1
1 7 2 1
1 7 2 1
1 7 2 1
1 7 2 2
1 7 0 0
1 7 2 2
1 7 4 2
1 7 2 2
1 7 4 3
1 7 4 2
1 7 2 1
1 7 1 0
1 7 4 2
1 7 4 1
1 7 4 2
1 7 2 0
1 7 4 2
1 7 2 0
1 7 2 1
1 7 4 2
1 7 2 0
1 7 2 1
1 7 2 0
1 7 2 1
1 7 4 2
1 7 4 1
1 7 2 0
1 7 0 0
1 7 4 1
1 7 2 2
1 7 2 2
1 7 4 1
1 7 2 2
1 7 2 1
1 7 4 3
1 7 4 2
1 7 4 2
1 7 2 0
1 7 2 1
1 7 4 3
1 7 2 1
1 7 2 1
1 7 2 1
1 7 2 2
1 7 2 1
1 7 4 1
1 7 2 1
1 7 2 1
1 7 2 0
1 7 2 1
1 7 4 2
1 7 2 2
1 7 4 2
1 7 2 2
1 7 2 1
1 7 2 1
1 7 4 2
1 7 0 0
1 7 2 1
1 7 4 2
1 7 4 1
1 7 2 1
1 7 4 2
1 7 2 1
1 7 2 1
1 7 2 1
1 7 2 2
1 7 2 1
1 7 2 1
1 7 1 0
1 7 4 0
1 7 2 1
1 7 2 0
1 7 2 2
1 7 2 2
1 7 2 1
1 7 4 1
1 7 2 0
1 7 0 0
1 7 2 2
1 7 2 1
1 7 4 2
1 7 4 4
1 7 2 1
1 7 6 3
1 7 2 2
1 7 2 0
1 7 2 1
1 7 2 0
1 7 2 2
1 7 2 1
1 7 4 2
1 7 0 0
1 7 2 2
1 7 4 2
1 7 2 1
1 7 6 3
1 7 2 1
1 7 4 2
1 7 2 0
1 7 0 0
1 7 2 2
1 7 2 1
1 7 2 1
1 7 4 3
1 7 2 2
1 7 4 3
1 7 2 1
1 7 2 2
1 7 2 1
1 7 2 0
1 7 4 1
1 7 2 2
1 7 4 2
1 7 4 2
1 7 0 0
1 7 0 0
1 7 2 1
1 7 2 1
1 7 2 1
1 7 4 3
1 7 2 1
1 7 2 0
1 7 4 3
1 7 2 2
1 7 2 1
1 7 0 0
1 7 2 1
1 7 2 0
1 7 2 1
1 7 4 3
1 7 4 1
1 7 4 3
1 7 2 1
1 7 4 2
1 7 2 0
1 7 2 1
1 7 2 2
1 7 2 2
1 7 4 2
1 7 2 1
1 7 2 1
1 7 2 1
1 7 0 0
1 7 0 0
1 7 2 1
1 7 2 1
1 7 4 2
1 7 2 0
1 7 2 1
1 7 4 3
1 7 4 3
1 7 2 1
1 7 3 1
1 7 2 2
1 7 4 3
1 7 2 0
1 7 4 3
1 7 2 1
1 7 4 3
1 7 4 1
1 7 2 1
1 7 0 0
1 7 0 0
1 7 2 1
1 7 2 2
1 7 4 2
1 7 4 3
1 7 2 1
1 7 2 1
1 7 2 1
1 7 2 2
1 7 2 1
1 7 2 1
1 7 2 1
1 7 2 1
1 7 2 1
1 7 2 1
1 7 2 2
1 7 2 1
1 7 2 1
1 7 4 1
1 7 2 1
1 7 0 0
1 7 4 2
1 7 4 1
1 7 2 1
1 7 2 2
1 7 4 2
1 7 2 1
1 7 2 1
1 7 6 2
1 7 2 1
1 7 2 1
1 7 2 1
1 7 2 0
1 7 2 1
1 7 2 0
1 7 4 2
1 7 0 0
1 7 4 1
1 7 4 2
1 7 2 1
1 7 2 2
1 7 2 1
1 7 2 0
1 7 2 0
1 7 2 0
1 7 2 1
1 7 2 2
1 7 2 2
1 7 2 1
1 7 2 0
1 7 4 3
1 7 4 1
1 7 2 1
1 7 4 2
1 7 4 2
1 7 4 1
1 7 2 1
1 7 4 1
1 7 4 1
1 7 2 1
1 7 2 1
1 7 2 1
1 7 2 2
1 7 2 2
1 7 2 1
1 7 2 1
1 7 2 1
1 7 0 0
1 7 2 1
1 7 2 1
1 7 2 1
1 7 2 1
1 7 2 1
1 7 4 2
1 7 4 2
1 7 4 2
1 7 2 2
1 7 4 2
1 7 2 1
1 7 2 2
1 7 2 1
1 7 2 0
1 7 2 1
1 7 2 2
1 7 2 1
1 7 2 2
1 7 0 0
1 7 2 1
1 7 2 1
1 7 4 1
1 7 0 0
1 7 2 2
1 7 4 2
1 7 4 2
1 7 2 0
1 7 2 0
1 7 2 1
1 7 2 1
1 7 2 1
1 7 0 0
1 7 4 2
1 7 2 1
1 7 2 0
1 7 2 0
1 7 2 0
1 7 2 1
1 7 4 2
1 7 2 2
1 7 2 1
1 7 4 2
1 7 4 3
1 7 2 1
1 7 2 0
1 7 2 1
1 7 2 0
1 7 2 1
1 7 4 2
1 7 2 1
1 7 0 0
1 7 2 2
1 7 2 0
1 7 2 1
1 7 2 1
1 7 2 1
1 7 2 0
1 7 4 2
1 7 4 2
1 7 2 1
1 7 2 1
1 7 4 2
1 7 2 1
1 7 0 0
1 7 2 2
1 7 4 2
1 7 0 0
1 7 2 2
1 7 4 3
1 7 4 2
1 7 2 1
1 7 0 0
1 7 4 2
1 7 2 0
1 7 4 1
1 7 4 3
1 7 2 1
1 7 2 1
1 7 2 1
1 7 2 0
1 7 2 0
1 7 2 0
1 7 2 1
1 7 2 1
1 7 2 1
1 7 0 0
1 7 2 0
1 7 4 2
1 7 4 1
1 7 4 2
1 7 2 0
1 7 2 1
1 7 4 2
1 7 2 1
1 7 4 2
1 7 2 2
1 7 2 1
1 7 2 1
1 7 2 1
1 7 4 2
1 7 2 1
1 7 0 0
1 7 2 1
1 7 4 1
1 7 2 2
1 7 4 1
1 7 2 1
1 7 4 1
1 7 2 1
1 7 2 1
1 7 2 1
1 7 2 2
1 7 2 2
1 7 4 3
1 7 2 1
1 7 2 1
1 7 4 1
1 7 4 2
1 7 2 1
1 7 6 4
1 7 2 1
1 7 4 2
1 7 2 2
1 7 2 2
1 7 4 1
1 7 4 2
1 7 4 3
1 7 2 2
1 7 4 2
1 7 2 1
1 7 2 2
1 7 2 1
1 7 2 2
1 7 2 1
1 7 2 0
1 7 2 1
1 7 4 2
1 7 2 1
1 7 0 0
1 7 2 1
1 7 2 0
1 7 4 1
1 7 2 2
1 7 4 3
1 7 4 2
1 7 2 2
1 7 4 2
1 7 2 1
1 7 2 1
1 7 2 1
1 7 2 2
1 7 2 1
1 7 2 0
1 7 2 2
1 7 4 1
1 7 2 1
1 7 2 1
1 7 2 2
1 7 4 3
1 7 4 2
1 7 4 3
1 7 0 0
1 7 4 2
1 7 2 2
1 7 4 2
1 7 4 3
1 7 2 1
1 7 2 1
1 7 0 0
1 7 0 0
1 7 4 1
1 7 4 3
1 7 2 1
1 7 4 1
1 7 2 1
1 7 4 4
1 7 2 1
1 7 2 1
1 7 2 0
1 7 2 1
1 7 4 3
1 7 2 0
1 7 2 2
1 7 2 2
1 7 4 2
1 7 2 0
1 7 2 2
1 7 2 1
1 7 2 1
1 7 2 2
1 7 4 2
1 7 4 2
1 7 2 0
1 7 2 2
1 7 2 0
1 7 2 1
1 7 2 1
1 7 4 2
1 7 2 0
1 7 4 3
1 7 4 2
1 7 4 3
1 7 4 2
1 7 0 0
1 7 4 3
1 7 2 0
1 7 2 1
1 7 2 1
1 7 2 1
1 7 4 2
1 7 4 2
1 7 2 1
1 7 4 1
1 7 0 0
1 7 2 2
1 7 2 0
1 7 2 1
1 7 2 1
1 7 2 1
1 7 4 2
1 7 2 1
1 7 2 2
1 7 2 1
1 7 2 1
1 7 2 1
1 7 2 1
1 7 2 0
1 7 2 0
1 7 4 2
1 7 4 2
1 7 4 1
1 7 2 1
1 7 2 2
1 7 4 2
1 7 2 1
1 7 4 2
1 7 4 2
1 7 4 1
1 7 0 0
1 7 4 2
1 7 0 0
1 7 2 2
1 7 4 4
1 7 2 1
1 7 4 2
1 7 2 2
1 7 2 2
1 7 2 0
1 7 4 3
1 7 4 3
1 7 2 0
1 7 4 3
1 7 2 2
1 7 4 2
1 7 2 1
1 7 2 2
1 7 4 2
1 7 2 0
1 7 2 2
1 7 0 0
1 7 2 1
1 7 2 1
1 7 4 1
1 7 2 1
1 7 2 1
1 7 4 1
1 7 4 2
1 7 4 3
1 7 4 1
1 7 2 1
1 7 2 2
1 7 6 3
1 7 4 3
1 7 2 1
1 7 4 2
1 7 2 1
1 7 4 2
1 7 0 0
1 7 2 1
1 7 2 1
1 7 4 3
1 7 2 1
1 7 2 1
1 7 2 1
1 7 4 3
1 7 2 1
1 7 2 1
1 7 4 2
1 7 2 0
1 7 2 2
1 7 2 0
1 7 2 1
1 7 2 1
1 7 4 2
1 7 2 1
1 7 2 2
1 7 2 2
1 7 4 2
1 7 4 2
1 7 2 1
1 7 4 2
1 7 4 2
1 7 4 2
1 7 2 1
1 7 2 2
1 7 2 1
1 7 2 1
1 7 4 3
1 7 2 1
1 7 2 2
1 7 0 0
1 7 2 0
1 7 4 2
1 7 0 0
1 7 2 2
1 7 2 1
1 7 2 2
1 7 2 1
1 7 2 1
1 7 2 2
1 7 6 4
1 7 4 2
1 7 4 3
1 7 2 1
1 7 2 1
1 7 4 2
1 7 2 0
1 7 2 2
1 7 4 2
1 7 4 2
1 7 2 0
1 7 4 3
1 7 2 0
1 7 2 1
1 7 2 2
1 7 4 2
1 7 2 0
1 7 2 2
1 7 4 2
1 7 2 2
1 7 2 1
1 7 2 1
1 7 2 2
1 7 2 1
1 7 2 1
1 7 2 2
1 7 2 1
1 7 4 3
1 7 4 1
1 7 2 1
1 7 4 3
1 7 2 2
1 7 2 1
1 7 2 1
1 7 2 0
1 7 4 2
1 7 4 2
1 7 2 1
1 7 2 2
1 7 2 1
1 7 4 2
1 7 2 1
1 7 2 1
1 7 2 1
1 7 2 1
1 7 2 0
1 7 2 1
1 7 4 2
1 7 2 1
1 7 2 1
1 7 2 1
1 7 2 1
1 7 4 3
1 7 2 0
1 7 0 0
1 7 2 1
1 7 4 3
1 7 2 1
1 7 2 2
1 7 2 2
1 7 0 0
1 7 0 0
1 7 2 0
1 7 2 2
1 7 2 1
1 7 2 1
1 7 2 2
1 7 4 1
1 7 2 0
1 7 2 2
1 7 0 0
1 7 4 2
1 7 2 1
1 7 2 1
1 7 4 2
1 7 4 3
1 7 4 2
1 7 0 0
1 7 4 1
1 7 4 1
1 7 0 0
1 7 2 2
1 7 2 2
1 7 2 2
1 7 4 1
1 7 2 0
1 7 4 3
1 7 2 1
1 7 2 1
1 7 2 0
1 7 4 3
1 7 4 1
1 7 2 1
1 7 2 0
1 7 4 3
1 7 2 2
1 7 2 1
1 7 2 1
1 7 2 1
1 7 2 0
1 7 2 1
1 7 2 0
1 7 4 2
1 7 2 0
1 7 2 1
1 7 4 3
1 7 2 1
1 7 2 1
1 7 4 2
1 7 0 0
1 7 2 2
1 7 2 1
1 7 4 1
1 7 0 0
1 7 2 0
1 7 2 0
1 7 2 1
1 7 4 2
1 7 2 1
1 7 2 2
1 7 2 1
1 7 2 1
1 7 2 1
1 7 4 1
1 7 2 2
1 7 2 1
1 7 0 0
1 7 2 2
1 7 4 1
1 7 2 0
1 7 2 1
1 7 0 0
1 7 2 1
1 7 4 2
1 7 4 2
1 7 4 1
1 7 4 2
1 7 2 0
1 7 2 0
1 7 2 0
1 7 2 1
1 7 2 0
1 7 4 3
1 7 2 1
1 7 2 2
1 7 2 0
1 7 2 1
1 7 4 2
1 7 0 0
1 7 2 2
1 7 4 2
1 7 2 1
1 7 2 0
1 7 4 2
1 7 4 2
1 7 2 1
1 7 2 1
1 7 2 1
1 7 2 0
1 7 2 0
1 7 0 0
1 7 2 1
1 7 4 1
1 7 4 2
1 7 0 0
1 7 2 2
1 7 4 1
1 7 2 0
1 7 2 0
1 7 4 2
1 7 2 1
1 7 2 1
1 7 2 0
1 7 4 1
1 7 2 1
1 7 4 2
1 7 2 1
1 7 2 1
1 7 2 1
1 7 4 2
1 7 2 0
1 7 2 1
1 7 2 1
1 7 4 2
1 7 2 1
1 7 2 0
1 7 2 1
1 7 2 2
1 7 2 1
1 7 0 0
1 7 2 1
1 7 2 1
1 7 4 2
1 7 4 2
1 7 2 2
1 7 2 1
1 7 2 1
1 7 2 1
1 7 4 1
1 7 2 1
1 7 2 1
1 7 0 0
1 7 4 3
1 7 2 2
1 7 4 4
1 7 2 0
1 7 4 1
1 7 4 1
1 7 2 0
1 7 2 1
